"id","artist","title","alt_text","description","date_created","date_acquired_or_updated","institution","medium","mediums_parsed","image_url"
"W01","1","Invisible Ink","","","2010","1/27/2021","0","Two chromogenic prints | Photograph","[""M01""]","https://www.moma.org/media/W1siZiIsIjQ5NzQ1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9fcca43357354a09"
"W02","2","Oops!","","","2000","4/14/2009","0","Three-channel video (color, sound) | Installation | Media and Performance","[""M05"", ""M08"", ""M07""]","https://www.moma.org/media/W1siZiIsIjE1ODc1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=46d77ab0612eae55"
"W03","2","Lucky Tiger #151","","","2009","5/12/2010","0","Chromogenic print with ink fingerprints | Photograph","[""M01""]","https://www.moma.org/media/W1siZiIsIjIxNjQ4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b6058410b2fc92bf"
"W04","2","Lucky Tiger #169","","","2009","5/12/2010","0","Chromogenic print with ink fingerprints | Photograph ","[""M01""]","https://www.moma.org/media/W1siZiIsIjIxNjQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c9f97834ee65398f"
"W05","2","Lucky Tiger #181","","","2009","5/12/2010","0","Chromogenic print with ink fingerprints | Photograph ","[""M01""]","https://www.moma.org/media/W1siZiIsIjIxNjQ4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2507f8b910a21010"
"W06","2","Lucky Tiger #186","","","2009","5/12/2010","0","Chromogenic print with ink fingerprints | Photograph ","[""M01""]","https://www.moma.org/media/W1siZiIsIjIxNjQ4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=71054940d6372a26"
"W07","2","Good Morning Sunshine","Young person sleeping on side in bed, clutching a small stuffed toy under a blanket.","","2009","8/30/2017","1","Video, color, sound, 14:50 min.","[""M05""]","https://whitneymedia.org/assets/artwork/39067/2011_108_1.jpg"
"W08","3","Primary Love","A person in blue holds a yellow portrait showing two children amid blue and red paintings.","","2020","2/1/2022","1","Oil on canvas | Paintings","[""M04""]","https://whitneymedia.org/assets/artwork/65017/2021_156_cropped.jpg"
"W09","4","banana split & other mix ups","","","1993","4/28/1993","2","Performance readings | multiple image performance","[""M07""]","http://artasiamerica.org/images/Brochure_for_Banana_split_and_other_mix_ups_Whi1163/Banana_Split_and_Other_Mix_Ups_brochure_pg_1.jpg"
"W10","5","Desert Plant (TAM.1460)","","","1965","1/10/1974","0","Lithograph | Print | Drawings & Prints","[""M02""]","https://www.moma.org/media/W1siZiIsIjIxNjE0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f665f32301ee5caa"
