artist_id,source_idx,point
0,,
1,AT01,4ad3ad5e-a302-5ac1-9c71-6d1b711f7683
2,AT09,0c69d778-f921-55ed-b64d-25b87773525f
3,AT17,7254fee1-88b1-5036-8640-ed732d0d3518
4,AT27,dc8a9f52-f4a2-591d-b2f5-b736ea0ae04c
5,AT37,13d2e7c6-a6bc-5e89-b336-f09d75a964c8
6,AT40,69a0b2b3-af9c-5484-990d-8867b5914919
7,AT58,670a0aaa-808f-5c3b-9029-b7d388b6b4f9
8,AT68,46dc76b9-a13c-5661-8947-43e303976beb
9,AT77,1e07e2ac-9386-5927-89a9-4f6ffd76170d
10,AT81,cea52699-4c25-5c20-8653-ffa41ac96026
11,AT82,47622f9d-5ea8-587c-b85d-27b59d187a48
12,AT84,4bd66ad7-4a7e-58a1-b438-23510b4c0ed1
13,AT90,eab707c3-46ed-5ffd-b6f1-2b365df0c770
14,AT95,282bee9d-cd9a-5a65-ae7b-ea056c6d889f
15,AT101,62c59dab-1d9a-5ad5-a630-7b5b3180eca6
16,AT110,eb30f31b-e4cc-5965-ae29-4351355885fb
17,,
18,AT121,51fdbb66-23b7-564d-9fe9-535443389a09
19,AT123,163a3bf0-d311-51e2-8b25-066273736101
20,AT133,aa8903f4-7cec-5b09-8593-aa2a39a58727
21,AT136,10eb34c9-17b7-5adc-b4ac-2e8826ab8257
22,AT144,0afbd4a2-2124-5d98-9b65-52aa4f98bf05
23,AT149,2b2670b6-b1e3-599f-8289-41a1af0713f1
24,AT154,078514e3-6b63-5bd7-a030-73983f85f2fc
25,AT162,1703a62f-780a-5837-8b51-da0ad3283686
26,AT165,6af772ec-b69b-5550-8737-7e0466bab844
27,AT167,612c69d1-afc5-5bf2-b214-c43373b82c45
28,AT170,efd71248-2a32-54bc-be02-77fcddfb042d
29,AT179,11862ba5-7021-5f9f-874a-d3d29855a7e0
